f0,f1,f2,f3,f4,f5,f6,f7
1.4313552,0.6862252,-0.45136285,0.084077485,0.5778814,0.012210856,0.23149808,0.6522215
-2.6465075,0.046899248,-0.39046142,0.053164788,0.38161895,0.018879842,0.13928698,1.0332279
-0.95968556,-0.017570484,-0.4301556,0.07423637,0.4580846,0.018879842,0.14286207,1.2111892
-3.069247,-0.7467759,-0.3256923,0.04585719,0.3478146,0.011486704,0.43219316,0.962834
-3.1466417,-0.7607394,0.6990608,-0.0005197404,0.28566015,0.01929346,0.25889802,0.8884189
-3.2068794,-0.13624023,-0.33723378,0.047012832,0.4446692,0.011486704,0.47029132,0.9830719
-3.069247,-0.7467759,-0.3256923,0.04585719,0.3478146,0.011486704,0.43219316,0.962834
-3.006211,-0.12801825,-0.38786548,0.053704415,0.36703733,0.018879842,0.13369748,1.025265
-2.95235,-0.3011393,-0.38740247,0.053704415,0.3589503,0.018879842,0.13315043,1.025265
-1.0361631,-0.8685712,0.6581039,0.004418594,0.31294468,0.009490635,0.43461737,1.0923978
1.4048418,-0.9718212,-0.42190143,0.0761541,0.4409385,0.012210856,0.6849658,1.0011388
1.4740016,-0.13063538,-0.43312594,0.07422075,0.5612076,-0.005362832,0.71493536,0.9976853
-3.0490775,-0.10452546,-0.3498881,0.046527404,0.22045308,0.018879842,0.43109953,1.0248247
1.574558,-0.98786163,-0.397384,0.07571966,0.51388156,0.012210856,0.67738664,1.029549
1.6658568,0.73458177,-0.424864,0.07569218,0.61872286,0.012210856,0.23577769,0.6311248
1.676988,0.09830123,0.9979465,-0.012449346,0.42974082,0.014098525,0.3291627,0.93880504
1.343197,-0.43878376,0.7357868,0.0011082441,0.38710505,-0.014472485,0.5824515,0.9850526
-2.930816,-0.7778616,-0.36417186,0.053704415,0.3549542,0.018879842,0.13408443,0.9632742
-3.0832808,-0.14441194,-0.37817073,0.053449336,0.4447112,0.018879842,0.1950965,0.9672022
-2.6013339,0.083346486,-0.39046142,0.053164788,0.38161895,0.018879842,0.13928698,1.0332279
1.29124,-0.96913433,-0.39868248,0.07571966,0.51388156,-0.005362832,0.68641746,1.0180736
1.6099067,0.0950092,0.9993849,-0.012449346,0.4338778,0.014098525,0.3291627,0.9656469
-2.9860067,-0.72806746,-0.336015,0.046527404,0.23446618,0.018879842,0.43295854,0.962834
-3.1750884,-0.72698927,0.5964582,0.0039859703,0.1915409,0.01929346,0.41346577,0.9078703
-3.0832808,-0.14441194,-0.37817073,0.053449336,0.4447112,0.018879842,0.1950965,0.9672022
-3.0850396,-0.15498546,-0.34692553,0.046935838,0.29386714,0.018879842,0.46938437,0.9830719
0.8867228,-0.21533456,-0.49987218,0.07452255,0.28550166,0.020627314,0.71279573,1.1113943
-1.06094,-0.3023937,0.7070088,0.008244694,0.16543522,0.01929346,0.4469176,1.1483858
-3.4294152,0.43858102,0.5354627,-0.00015414227,0.35603043,0.01929346,0.4374058,0.682447
1.3429736,0.07816664,-0.42845878,0.078094475,0.61258477,-0.005362832,0.6900105,1.0597885
1.6801343,0.07273955,0.9948025,-0.012449346,0.42974082,0.014098525,0.3291627,0.94937074
1.3905563,0.16873783,0.7597948,-0.0029131053,0.4351349,-0.014472485,0.5858514,1.0005069
-3.311166,-0.14582062,0.61022466,-0.00022133812,0.23657048,0.01929346,0.46941945,0.93847597
-2.930816,-0.7778616,-0.36417186,0.053704415,0.3549542,0.018879842,0.13408443,0.9632742
1.5699018,-0.19759443,-0.49355972,0.10336702,0.6844379,0.012210856,0.22733353,0.98251987
